 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.4043408E+06 0.4126336E-06 0.4346235E-06 0.4512624E-06 0.4638293E-06 0.4731685E-06 0.4799591E-06 0.4847580E-06 0.4880567E-06 0.4902410E-06 0.4916367E-06 0.4925015E-06 0.4930115E-06 0.4933024E-06
 0.3932185E+06 0.2428698E-06 0.2505703E-06 0.2562027E-06 0.2603512E-06 0.2633775E-06 0.2655484E-06 0.2670679E-06 0.2681054E-06 0.2687893E-06 0.2692250E-06 0.2694944E-06 0.2696532E-06 0.2697437E-06
 0.3824024E+06 0.2323375E-06 0.2393671E-06 0.2444970E-06 0.2482689E-06 0.2510171E-06 0.2529867E-06 0.2543645E-06 0.2553047E-06 0.2559244E-06 0.2563191E-06 0.2565631E-06 0.2567069E-06 0.2567889E-06
 0.3718838E+06 0.2262183E-06 0.2328632E-06 0.2377054E-06 0.2412623E-06 0.2438518E-06 0.2457067E-06 0.2470037E-06 0.2478886E-06 0.2484717E-06 0.2488430E-06 0.2490726E-06 0.2492079E-06 0.2492850E-06
 0.3616543E+06 0.2223497E-06 0.2287493E-06 0.2334084E-06 0.2368283E-06 0.2393169E-06 0.2410988E-06 0.2423445E-06 0.2431942E-06 0.2437540E-06 0.2441106E-06 0.2443310E-06 0.2444608E-06 0.2445348E-06
 0.3517064E+06 0.2198218E-06 0.2260564E-06 0.2305923E-06 0.2339201E-06 0.2363408E-06 0.2380737E-06 0.2392850E-06 0.2401110E-06 0.2406552E-06 0.2410018E-06 0.2412160E-06 0.2413423E-06 0.2414142E-06
 0.3420322E+06 0.2181731E-06 0.2242940E-06 0.2287451E-06 0.2320094E-06 0.2343834E-06 0.2360825E-06 0.2372699E-06 0.2380797E-06 0.2386131E-06 0.2389528E-06 0.2391628E-06 0.2392865E-06 0.2393570E-06
 0.3326240E+06 0.2171406E-06 0.2231831E-06 0.2275755E-06 0.2307960E-06 0.2331376E-06 0.2348133E-06 0.2359843E-06 0.2367828E-06 0.2373087E-06 0.2376436E-06 0.2378507E-06 0.2379727E-06 0.2380422E-06
 0.3234744E+06 0.2165614E-06 0.2225509E-06 0.2269036E-06 0.2300944E-06 0.2324140E-06 0.2340738E-06 0.2352336E-06 0.2360244E-06 0.2365453E-06 0.2368770E-06 0.2370821E-06 0.2372029E-06 0.2372717E-06
 0.3145767E+06 0.2163281E-06 0.2222839E-06 0.2266112E-06 0.2297828E-06 0.2320883E-06 0.2337379E-06 0.2348905E-06 0.2356763E-06 0.2361939E-06 0.2365235E-06 0.2367274E-06 0.2368474E-06 0.2369158E-06
 0.3059238E+06 0.2163671E-06 0.2223040E-06 0.2266169E-06 0.2297777E-06 0.2320751E-06 0.2337189E-06 0.2348673E-06 0.2356503E-06 0.2361660E-06 0.2364944E-06 0.2366975E-06 0.2368171E-06 0.2368852E-06
 0.2975087E+06 0.2166254E-06 0.2225553E-06 0.2268628E-06 0.2300193E-06 0.2323135E-06 0.2339549E-06 0.2351016E-06 0.2358834E-06 0.2363984E-06 0.2367263E-06 0.2369290E-06 0.2370484E-06 0.2371164E-06
 0.2893252E+06 0.2170642E-06 0.2229968E-06 0.2273060E-06 0.2304636E-06 0.2327585E-06 0.2344003E-06 0.2355473E-06 0.2363294E-06 0.2368445E-06 0.2371724E-06 0.2373752E-06 0.2374946E-06 0.2375627E-06
 0.2813669E+06 0.2176539E-06 0.2235975E-06 0.2279143E-06 0.2310775E-06 0.2333764E-06 0.2350210E-06 0.2361699E-06 0.2369534E-06 0.2374693E-06 0.2377978E-06 0.2380009E-06 0.2381206E-06 0.2381887E-06
 0.2736272E+06 0.2183721E-06 0.2243333E-06 0.2286628E-06 0.2318354E-06 0.2341410E-06 0.2357904E-06 0.2369428E-06 0.2377284E-06 0.2382459E-06 0.2385754E-06 0.2387791E-06 0.2388991E-06 0.2389675E-06
 0.2661007E+06 0.2192008E-06 0.2251855E-06 0.2295321E-06 0.2327172E-06 0.2350320E-06 0.2366879E-06 0.2378448E-06 0.2386336E-06 0.2391531E-06 0.2394839E-06 0.2396884E-06 0.2398089E-06 0.2398776E-06
 0.2587811E+06 0.2201258E-06 0.2261390E-06 0.2305066E-06 0.2337070E-06 0.2360330E-06 0.2376970E-06 0.2388595E-06 0.2396521E-06 0.2401742E-06 0.2405066E-06 0.2407121E-06 0.2408331E-06 0.2409021E-06
 0.2516629E+06 0.2211356E-06 0.2271820E-06 0.2315738E-06 0.2347920E-06 0.2371310E-06 0.2388043E-06 0.2399733E-06 0.2407704E-06 0.2412954E-06 0.2416296E-06 0.2418363E-06 0.2419580E-06 0.2420274E-06
 0.2447404E+06 0.2222210E-06 0.2283044E-06 0.2327233E-06 0.2359616E-06 0.2383152E-06 0.2399990E-06 0.2411754E-06 0.2419775E-06 0.2425058E-06 0.2428421E-06 0.2430501E-06 0.2431726E-06 0.2432424E-06
 0.2380084E+06 0.2233741E-06 0.2294981E-06 0.2339469E-06 0.2372071E-06 0.2395767E-06 0.2412721E-06 0.2424566E-06 0.2432642E-06 0.2437961E-06 0.2441348E-06 0.2443443E-06 0.2444676E-06 0.2445379E-06
 0.2314616E+06 0.2245885E-06 0.2307564E-06 0.2352373E-06 0.2385214E-06 0.2409084E-06 0.2426163E-06 0.2438095E-06 0.2446231E-06 0.2451589E-06 0.2455002E-06 0.2457111E-06 0.2458354E-06 0.2459062E-06
 0.2250947E+06 0.2258588E-06 0.2320735E-06 0.2365889E-06 0.2398984E-06 0.2423040E-06 0.2440252E-06 0.2452278E-06 0.2460477E-06 0.2465878E-06 0.2469317E-06 0.2471443E-06 0.2472696E-06 0.2473409E-06
 0.2189031E+06 0.2271804E-06 0.2334448E-06 0.2379965E-06 0.2413329E-06 0.2437583E-06 0.2454936E-06 0.2467061E-06 0.2475329E-06 0.2480774E-06 0.2484241E-06 0.2486385E-06 0.2487648E-06 0.2488368E-06
 0.2128818E+06 0.2285496E-06 0.2348660E-06 0.2394561E-06 0.2428208E-06 0.2452668E-06 0.2470171E-06 0.2482399E-06 0.2490739E-06 0.2496232E-06 0.2499729E-06 0.2501891E-06 0.2503165E-06 0.2503891E-06
 0.2070260E+06 0.2299629E-06 0.2363338E-06 0.2409639E-06 0.2443582E-06 0.2468259E-06 0.2485918E-06 0.2498256E-06 0.2506670E-06 0.2512212E-06 0.2515741E-06 0.2517923E-06 0.2519208E-06 0.2519940E-06
 0.2013314E+06 0.2314176E-06 0.2378451E-06 0.2425170E-06 0.2459421E-06 0.2484324E-06 0.2502145E-06 0.2514598E-06 0.2523089E-06 0.2528682E-06 0.2532244E-06 0.2534446E-06 0.2535743E-06 0.2536482E-06
 0.1957935E+06 0.2329112E-06 0.2393975E-06 0.2441126E-06 0.2475698E-06 0.2500835E-06 0.2518824E-06 0.2531395E-06 0.2539967E-06 0.2545614E-06 0.2549209E-06 0.2551433E-06 0.2552742E-06 0.2553489E-06
 0.1904079E+06 0.2344416E-06 0.2409887E-06 0.2457485E-06 0.2492388E-06 0.2517768E-06 0.2535932E-06 0.2548625E-06 0.2557281E-06 0.2562983E-06 0.2566613E-06 0.2568859E-06 0.2570181E-06 0.2570934E-06
 0.1851703E+06 0.2360071E-06 0.2426168E-06 0.2474228E-06 0.2509473E-06 0.2535104E-06 0.2553448E-06 0.2566267E-06 0.2575009E-06 0.2580768E-06 0.2584435E-06 0.2586703E-06 0.2588038E-06 0.2588799E-06
 0.1800769E+06 0.2376061E-06 0.2442802E-06 0.2491338E-06 0.2526935E-06 0.2552823E-06 0.2571353E-06 0.2584302E-06 0.2593133E-06 0.2598950E-06 0.2602655E-06 0.2604946E-06 0.2606295E-06 0.2607064E-06
 0.1751236E+06 0.2392371E-06 0.2459775E-06 0.2508799E-06 0.2544759E-06 0.2570912E-06 0.2589632E-06 0.2602715E-06 0.2611638E-06 0.2617516E-06 0.2621259E-06 0.2623573E-06 0.2624936E-06 0.2625713E-06
 0.1703064E+06 0.2408991E-06 0.2477075E-06 0.2526600E-06 0.2562932E-06 0.2589357E-06 0.2608273E-06 0.2621494E-06 0.2630510E-06 0.2636450E-06 0.2640232E-06 0.2642571E-06 0.2643948E-06 0.2644733E-06
 0.1656218E+06 0.2425910E-06 0.2494691E-06 0.2544730E-06 0.2581441E-06 0.2608146E-06 0.2627263E-06 0.2640624E-06 0.2649738E-06 0.2655740E-06 0.2659563E-06 0.2661927E-06 0.2663320E-06 0.2664113E-06
 0.1610661E+06 0.2443120E-06 0.2512613E-06 0.2563179E-06 0.2600280E-06 0.2627271E-06 0.2646593E-06 0.2660099E-06 0.2669310E-06 0.2675379E-06 0.2679243E-06 0.2681632E-06 0.2683040E-06 0.2683842E-06
 0.1566356E+06 0.2460613E-06 0.2530835E-06 0.2581939E-06 0.2619440E-06 0.2646722E-06 0.2666255E-06 0.2679908E-06 0.2689221E-06 0.2695356E-06 0.2699262E-06 0.2701678E-06 0.2703101E-06 0.2703912E-06
 0.1523271E+06 0.2478383E-06 0.2549350E-06 0.2601003E-06 0.2638911E-06 0.2666493E-06 0.2686241E-06 0.2700045E-06 0.2709460E-06 0.2715664E-06 0.2719614E-06 0.2722056E-06 0.2723495E-06 0.2724315E-06
 0.1481371E+06 0.2496425E-06 0.2568151E-06 0.2620365E-06 0.2658690E-06 0.2686577E-06 0.2706544E-06 0.2720503E-06 0.2730024E-06 0.2736297E-06 0.2740291E-06 0.2742761E-06 0.2744217E-06 0.2745046E-06
 0.1440624E+06 0.2514733E-06 0.2587235E-06 0.2640022E-06 0.2678771E-06 0.2706970E-06 0.2727161E-06 0.2741277E-06 0.2750907E-06 0.2757250E-06 0.2761290E-06 0.2763788E-06 0.2765260E-06 0.2766098E-06
 0.1400996E+06 0.2533304E-06 0.2606597E-06 0.2659968E-06 0.2699151E-06 0.2727668E-06 0.2748088E-06 0.2762364E-06 0.2772104E-06 0.2778520E-06 0.2782606E-06 0.2785133E-06 0.2786621E-06 0.2787469E-06
 0.1362460E+06 0.2552136E-06 0.2626234E-06 0.2680201E-06 0.2719826E-06 0.2748666E-06 0.2769320E-06 0.2783761E-06 0.2793611E-06 0.2800101E-06 0.2804235E-06 0.2806791E-06 0.2808297E-06 0.2809155E-06
