 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.4514036E+07 0.2114924E-06 0.2120677E-06 0.2126355E-06 0.2131961E-06 0.2137492E-06 0.2142954E-06 0.2148345E-06 0.2153683E-06 0.2158955E-06 0.2164157E-06 0.2169329E-06 0.2174415E-06 0.2179432E-06
 0.4165181E+07 0.2133781E-06 0.2139586E-06 0.2145314E-06 0.2150970E-06 0.2156551E-06 0.2162062E-06 0.2167500E-06 0.2172886E-06 0.2178205E-06 0.2183453E-06 0.2188672E-06 0.2193803E-06 0.2198865E-06
 0.3843287E+07 0.2152892E-06 0.2158749E-06 0.2164528E-06 0.2170235E-06 0.2175866E-06 0.2181426E-06 0.2186913E-06 0.2192347E-06 0.2197713E-06 0.2203009E-06 0.2208274E-06 0.2213451E-06 0.2218558E-06
 0.3546269E+07 0.2172261E-06 0.2178170E-06 0.2184002E-06 0.2189760E-06 0.2195441E-06 0.2201051E-06 0.2206588E-06 0.2212071E-06 0.2217485E-06 0.2222829E-06 0.2228141E-06 0.2233365E-06 0.2238518E-06
 0.3272205E+07 0.2191892E-06 0.2197855E-06 0.2203739E-06 0.2209549E-06 0.2215282E-06 0.2220943E-06 0.2226529E-06 0.2232062E-06 0.2237525E-06 0.2242917E-06 0.2248277E-06 0.2253548E-06 0.2258748E-06
 0.3019322E+07 0.2211791E-06 0.2217808E-06 0.2223745E-06 0.2229608E-06 0.2235393E-06 0.2241105E-06 0.2246742E-06 0.2252326E-06 0.2257838E-06 0.2263279E-06 0.2268688E-06 0.2274006E-06 0.2279253E-06
 0.2785982E+07 0.2231962E-06 0.2238034E-06 0.2244025E-06 0.2249942E-06 0.2255779E-06 0.2261543E-06 0.2267232E-06 0.2272866E-06 0.2278429E-06 0.2283919E-06 0.2289378E-06 0.2294745E-06 0.2300039E-06
 0.2570675E+07 0.2252410E-06 0.2258537E-06 0.2264584E-06 0.2270554E-06 0.2276445E-06 0.2282263E-06 0.2288003E-06 0.2293689E-06 0.2299303E-06 0.2304843E-06 0.2310352E-06 0.2315768E-06 0.2321111E-06
 0.2372008E+07 0.2273140E-06 0.2279324E-06 0.2285426E-06 0.2291452E-06 0.2297397E-06 0.2303268E-06 0.2309061E-06 0.2314799E-06 0.2320465E-06 0.2326056E-06 0.2331615E-06 0.2337081E-06 0.2342474E-06
 0.2188694E+07 0.2294158E-06 0.2300399E-06 0.2306558E-06 0.2312639E-06 0.2318639E-06 0.2324564E-06 0.2330411E-06 0.2336202E-06 0.2341920E-06 0.2347563E-06 0.2353174E-06 0.2358691E-06 0.2364133E-06
 0.2019547E+07 0.2315469E-06 0.2321768E-06 0.2327984E-06 0.2334122E-06 0.2340177E-06 0.2346158E-06 0.2352059E-06 0.2357904E-06 0.2363675E-06 0.2369370E-06 0.2375033E-06 0.2380601E-06 0.2386094E-06
 0.1863472E+07 0.2337078E-06 0.2343436E-06 0.2349710E-06 0.2355905E-06 0.2362017E-06 0.2368053E-06 0.2374010E-06 0.2379909E-06 0.2385734E-06 0.2391483E-06 0.2397198E-06 0.2402818E-06 0.2408362E-06
 0.1719458E+07 0.2358992E-06 0.2365409E-06 0.2371742E-06 0.2377995E-06 0.2384164E-06 0.2390257E-06 0.2396269E-06 0.2402224E-06 0.2408103E-06 0.2413906E-06 0.2419675E-06 0.2425347E-06 0.2430943E-06
 0.1586575E+07 0.2381214E-06 0.2387692E-06 0.2394085E-06 0.2400397E-06 0.2406624E-06 0.2412774E-06 0.2418843E-06 0.2424854E-06 0.2430789E-06 0.2436646E-06 0.2442469E-06 0.2448195E-06 0.2453844E-06
 0.1463961E+07 0.2403753E-06 0.2410292E-06 0.2416745E-06 0.2423117E-06 0.2429403E-06 0.2435611E-06 0.2441738E-06 0.2447805E-06 0.2453796E-06 0.2459709E-06 0.2465587E-06 0.2471368E-06 0.2477070E-06
 0.1350823E+07 0.2426613E-06 0.2433214E-06 0.2439728E-06 0.2446161E-06 0.2452507E-06 0.2458774E-06 0.2464959E-06 0.2471084E-06 0.2477132E-06 0.2483101E-06 0.2489035E-06 0.2494870E-06 0.2500627E-06
 0.1246428E+07 0.2449800E-06 0.2456465E-06 0.2463041E-06 0.2469535E-06 0.2475942E-06 0.2482269E-06 0.2488513E-06 0.2494696E-06 0.2500802E-06 0.2506828E-06 0.2512819E-06 0.2518710E-06 0.2524522E-06
 0.1150101E+07 0.2473322E-06 0.2480050E-06 0.2486690E-06 0.2493246E-06 0.2499714E-06 0.2506102E-06 0.2512406E-06 0.2518649E-06 0.2524814E-06 0.2530897E-06 0.2536946E-06 0.2542893E-06 0.2548761E-06
 0.1061219E+07 0.2497184E-06 0.2503977E-06 0.2510681E-06 0.2517300E-06 0.2523831E-06 0.2530280E-06 0.2536645E-06 0.2542948E-06 0.2549172E-06 0.2555315E-06 0.2561422E-06 0.2567426E-06 0.2573350E-06
 0.9792057E+06 0.2521393E-06 0.2528252E-06 0.2535021E-06 0.2541704E-06 0.2548298E-06 0.2554810E-06 0.2561236E-06 0.2567601E-06 0.2573885E-06 0.2580087E-06 0.2586253E-06 0.2592316E-06 0.2598298E-06
 0.9035305E+06 0.2545956E-06 0.2552882E-06 0.2559716E-06 0.2566465E-06 0.2573123E-06 0.2579699E-06 0.2586187E-06 0.2592614E-06 0.2598959E-06 0.2605222E-06 0.2611448E-06 0.2617570E-06 0.2623610E-06
 0.8337036E+06 0.2562979E-06 0.2577873E-06 0.2584775E-06 0.2591589E-06 0.2598313E-06 0.2604952E-06 0.2611505E-06 0.2617994E-06 0.2624402E-06 0.2630726E-06 0.2637013E-06 0.2643195E-06 0.2649293E-06
 0.7692732E+06 0.2543753E-06 0.2603233E-06 0.2610203E-06 0.2617084E-06 0.2623874E-06 0.2630579E-06 0.2637196E-06 0.2643749E-06 0.2650220E-06 0.2656606E-06 0.2662954E-06 0.2669197E-06 0.2675356E-06
 0.7098220E+06 0.2525495E-06 0.2628970E-06 0.2636008E-06 0.2642957E-06 0.2649814E-06 0.2656586E-06 0.2663268E-06 0.2669886E-06 0.2676420E-06 0.2682869E-06 0.2689281E-06 0.2695586E-06 0.2701805E-06
