 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.4043408E+06 0.6877572E-07 0.7244088E-07 0.7521417E-07 0.7730876E-07 0.7886536E-07 0.7999719E-07 0.8079705E-07 0.8134687E-07 0.8171094E-07 0.8194357E-07 0.8208769E-07 0.8217270E-07 0.8222119E-07
 0.3932185E+06 0.4048033E-07 0.4176381E-07 0.4270260E-07 0.4339405E-07 0.4389846E-07 0.4426029E-07 0.4451355E-07 0.4468647E-07 0.4480046E-07 0.4487308E-07 0.4491799E-07 0.4494445E-07 0.4495953E-07
 0.3824024E+06 0.3872485E-07 0.3989652E-07 0.4075154E-07 0.4138022E-07 0.4183828E-07 0.4216657E-07 0.4239621E-07 0.4255292E-07 0.4265620E-07 0.4272199E-07 0.4276267E-07 0.4278663E-07 0.4280029E-07
 0.3718838E+06 0.3770494E-07 0.3881248E-07 0.3961956E-07 0.4021239E-07 0.4064400E-07 0.4095317E-07 0.4116935E-07 0.4131684E-07 0.4141402E-07 0.4147591E-07 0.4151418E-07 0.4153674E-07 0.4154959E-07
 0.3616543E+06 0.3706014E-07 0.3812679E-07 0.3890335E-07 0.3947336E-07 0.3988814E-07 0.4018515E-07 0.4039278E-07 0.4053440E-07 0.4062771E-07 0.4068713E-07 0.4072387E-07 0.4074551E-07 0.4075785E-07
 0.3517064E+06 0.3663880E-07 0.3767795E-07 0.3843397E-07 0.3898864E-07 0.3939211E-07 0.3968095E-07 0.3988283E-07 0.4002051E-07 0.4011121E-07 0.4016898E-07 0.4020469E-07 0.4022573E-07 0.4023772E-07
 0.3420322E+06 0.3636401E-07 0.3738422E-07 0.3812609E-07 0.3867018E-07 0.3906585E-07 0.3934905E-07 0.3954697E-07 0.3968195E-07 0.3977084E-07 0.3982746E-07 0.3986247E-07 0.3988309E-07 0.3989484E-07
 0.3326240E+06 0.3619192E-07 0.3719906E-07 0.3793115E-07 0.3846793E-07 0.3885821E-07 0.3913751E-07 0.3933268E-07 0.3946577E-07 0.3955344E-07 0.3960926E-07 0.3964377E-07 0.3966411E-07 0.3967570E-07
 0.3234744E+06 0.3609537E-07 0.3709368E-07 0.3781917E-07 0.3835098E-07 0.3873761E-07 0.3901426E-07 0.3920757E-07 0.3933937E-07 0.3942620E-07 0.3948148E-07 0.3951567E-07 0.3953580E-07 0.3954727E-07
 0.3145767E+06 0.3605650E-07 0.3704917E-07 0.3777042E-07 0.3829906E-07 0.3868333E-07 0.3895827E-07 0.3915037E-07 0.3928136E-07 0.3936763E-07 0.3942257E-07 0.3945654E-07 0.3947654E-07 0.3948794E-07
 0.3059238E+06 0.3606299E-07 0.3705252E-07 0.3777138E-07 0.3829821E-07 0.3868113E-07 0.3895510E-07 0.3914651E-07 0.3927702E-07 0.3936298E-07 0.3941771E-07 0.3945156E-07 0.3947149E-07 0.3948285E-07
 0.2975087E+06 0.3610604E-07 0.3709442E-07 0.3781236E-07 0.3833848E-07 0.3872086E-07 0.3899443E-07 0.3918556E-07 0.3931587E-07 0.3940171E-07 0.3945636E-07 0.3949014E-07 0.3951004E-07 0.3952139E-07
 0.2893252E+06 0.3617917E-07 0.3716801E-07 0.3788623E-07 0.3841253E-07 0.3879504E-07 0.3906868E-07 0.3925985E-07 0.3939021E-07 0.3947606E-07 0.3953071E-07 0.3956452E-07 0.3958442E-07 0.3959577E-07
 0.2813669E+06 0.3627748E-07 0.3726811E-07 0.3798762E-07 0.3851485E-07 0.3889801E-07 0.3917213E-07 0.3936363E-07 0.3949421E-07 0.3958021E-07 0.3963495E-07 0.3966881E-07 0.3968875E-07 0.3970011E-07
 0.2736272E+06 0.3639718E-07 0.3739076E-07 0.3811238E-07 0.3864116E-07 0.3902546E-07 0.3930038E-07 0.3949244E-07 0.3962339E-07 0.3970964E-07 0.3976456E-07 0.3979851E-07 0.3981852E-07 0.3982992E-07
 0.2661007E+06 0.3653530E-07 0.3753280E-07 0.3825727E-07 0.3878814E-07 0.3917396E-07 0.3944997E-07 0.3964280E-07 0.3977426E-07 0.3986086E-07 0.3991599E-07 0.3995007E-07 0.3997016E-07 0.3998160E-07
 0.2587811E+06 0.3668947E-07 0.3769173E-07 0.3841970E-07 0.3895313E-07 0.3934081E-07 0.3961815E-07 0.3981192E-07 0.3994402E-07 0.4003104E-07 0.4008644E-07 0.4012069E-07 0.4014086E-07 0.4015236E-07
