 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.6369729E+06 0.4149948E-08 0.4610952E-08 0.4873010E-08 0.5062589E-08 0.5213726E-08 0.5341050E-08 0.5451958E-08 0.5551214E-08 0.5641257E-08 0.5723979E-08 0.5801253E-08 0.5873214E-08 0.5940900E-08
 0.5969724E+06 0.4088294E-08 0.4531600E-08 0.4782701E-08 0.4963955E-08 0.5108216E-08 0.5229567E-08 0.5335185E-08 0.5429595E-08 0.5515165E-08 0.5593713E-08 0.5667033E-08 0.5735263E-08 0.5799397E-08
 0.5594839E+06 0.4029672E-08 0.4456404E-08 0.4697315E-08 0.4870824E-08 0.5008716E-08 0.5124578E-08 0.5225278E-08 0.5315221E-08 0.5396691E-08 0.5471400E-08 0.5541088E-08 0.5605893E-08 0.5666771E-08
 0.5243496E+06 0.3973887E-08 0.4385109E-08 0.4616504E-08 0.4782825E-08 0.4914806E-08 0.5025568E-08 0.5121735E-08 0.5207553E-08 0.5285222E-08 0.5356376E-08 0.5422718E-08 0.5484374E-08 0.5542258E-08
 0.4914216E+06 0.3920791E-08 0.4317449E-08 0.4539939E-08 0.4699577E-08 0.4826064E-08 0.4932091E-08 0.5024058E-08 0.5106056E-08 0.5180195E-08 0.5248099E-08 0.5311354E-08 0.5370105E-08 0.5425232E-08
 0.4605615E+06 0.3870217E-08 0.4253190E-08 0.4467363E-08 0.4620751E-08 0.4742120E-08 0.4843731E-08 0.4931811E-08 0.5010267E-08 0.5081151E-08 0.5146030E-08 0.5206431E-08 0.5262500E-08 0.5315081E-08
 0.4316393E+06 0.3822022E-08 0.4192110E-08 0.4398499E-08 0.4546033E-08 0.4662628E-08 0.4760153E-08 0.4844590E-08 0.4919754E-08 0.4987631E-08 0.5049706E-08 0.5107461E-08 0.5161045E-08 0.5211271E-08
 0.4045333E+06 0.3776066E-08 0.4134035E-08 0.4333111E-08 0.4475178E-08 0.4587313E-08 0.4681012E-08 0.4762068E-08 0.4834168E-08 0.4899235E-08 0.4958689E-08 0.5013989E-08 0.5065268E-08 0.5113310E-08
 0.3791295E+06 0.3732245E-08 0.4078776E-08 0.4270970E-08 0.4407924E-08 0.4515884E-08 0.4606009E-08 0.4683909E-08 0.4753152E-08 0.4815588E-08 0.4872631E-08 0.4925647E-08 0.4974784E-08 0.5020799E-08
 0.3553211E+06 0.3690435E-08 0.4026168E-08 0.4211899E-08 0.4344042E-08 0.4448092E-08 0.4534859E-08 0.4609821E-08 0.4676397E-08 0.4736390E-08 0.4791172E-08 0.4842060E-08 0.4889204E-08 0.4933332E-08
 0.3330077E+06 0.3650533E-08 0.3976051E-08 0.4155703E-08 0.4283315E-08 0.4383694E-08 0.4467338E-08 0.4539525E-08 0.4603606E-08 0.4661330E-08 0.4713999E-08 0.4762903E-08 0.4808187E-08 0.4850557E-08
 0.3120956E+06 0.3612434E-08 0.3928305E-08 0.4102217E-08 0.4225574E-08 0.4322504E-08 0.4403206E-08 0.4472804E-08 0.4534547E-08 0.4590135E-08 0.4640817E-08 0.4687865E-08 0.4731412E-08 0.4772140E-08
 0.2924967E+06 0.3576063E-08 0.3882790E-08 0.4051273E-08 0.4170633E-08 0.4264318E-08 0.4342255E-08 0.4409422E-08 0.4468974E-08 0.4522547E-08 0.4571392E-08 0.4616703E-08 0.4658625E-08 0.4697819E-08
 0.2741286E+06 0.3541329E-08 0.3839389E-08 0.4002751E-08 0.4118330E-08 0.4208959E-08 0.4284284E-08 0.4349177E-08 0.4406669E-08 0.4458364E-08 0.4505474E-08 0.4549157E-08 0.4589557E-08 0.4627314E-08
 0.2569139E+06 0.3508154E-08 0.3797982E-08 0.3956508E-08 0.4068507E-08 0.4156254E-08 0.4229138E-08 0.4291870E-08 0.4347426E-08 0.4397366E-08 0.4442847E-08 0.4485002E-08 0.4523974E-08 0.4560384E-08
 0.2407803E+06 0.3476457E-08 0.3758483E-08 0.3912423E-08 0.4021047E-08 0.4106073E-08 0.4176647E-08 0.4237352E-08 0.4291085E-08 0.4339363E-08 0.4383301E-08 0.4424020E-08 0.4461651E-08 0.4496796E-08
 0.2256598E+06 0.3446187E-08 0.3720791E-08 0.3870374E-08 0.3975814E-08 0.4058268E-08 0.4126660E-08 0.4185454E-08 0.4237468E-08 0.4284171E-08 0.4326677E-08 0.4366045E-08 0.4402414E-08 0.4436370E-08
 0.2114889E+06 0.3417271E-08 0.3684816E-08 0.3830274E-08 0.3932689E-08 0.4012712E-08 0.4079031E-08 0.4136030E-08 0.4186422E-08 0.4231649E-08 0.4272795E-08 0.4310890E-08 0.4346071E-08 0.4378908E-08
 0.1982079E+06 0.3389651E-08 0.3650468E-08 0.3792018E-08 0.3891558E-08 0.3969276E-08 0.4033654E-08 0.4088936E-08 0.4137796E-08 0.4181639E-08 0.4221502E-08 0.4258396E-08 0.4292457E-08 0.4324239E-08
 0.1857609E+06 0.3363266E-08 0.3617688E-08 0.3755516E-08 0.3852335E-08 0.3927870E-08 0.3990400E-08 0.4044067E-08 0.4091478E-08 0.4134003E-08 0.4172645E-08 0.4208405E-08 0.4241409E-08 0.4272195E-08
 0.1740955E+06 0.3338076E-08 0.3586395E-08 0.3720677E-08 0.3814919E-08 0.3888383E-08 0.3949161E-08 0.4001299E-08 0.4047338E-08 0.4088607E-08 0.4126112E-08 0.4160800E-08 0.4192806E-08 0.4222652E-08
 0.1631627E+06 0.3314026E-08 0.3556524E-08 0.3687437E-08 0.3779224E-08 0.3850720E-08 0.3909829E-08 0.3960524E-08 0.4005263E-08 0.4045352E-08 0.4081772E-08 0.4115446E-08 0.4146507E-08 0.4175465E-08
 0.1529165E+06 0.3291072E-08 0.3528006E-08 0.3655717E-08 0.3745159E-08 0.3814787E-08 0.3872325E-08 0.3921635E-08 0.3965142E-08 0.4004121E-08 0.4039512E-08 0.4072226E-08 0.4102393E-08 0.4130510E-08
 0.1433137E+06 0.3269165E-08 0.3500796E-08 0.3625448E-08 0.3712667E-08 0.3780516E-08 0.3836555E-08 0.3884558E-08 0.3926894E-08 0.3964811E-08 0.3999219E-08 0.4031022E-08 0.4060342E-08 0.4087662E-08
 0.1343139E+06 0.3248276E-08 0.3474833E-08 0.3596561E-08 0.3681668E-08 0.3747825E-08 0.3802438E-08 0.3849198E-08 0.3890423E-08 0.3927323E-08 0.3960814E-08 0.3991753E-08 0.4020269E-08 0.4046833E-08
 0.1258793E+06 0.3228362E-08 0.3450067E-08 0.3569010E-08 0.3652097E-08 0.3716643E-08 0.3769890E-08 0.3815476E-08 0.3855643E-08 0.3891585E-08 0.3924197E-08 0.3954316E-08 0.3982068E-08 0.4007916E-08
 0.1179744E+06 0.3209388E-08 0.3426443E-08 0.3542733E-08 0.3623886E-08 0.3686895E-08 0.3738856E-08 0.3783309E-08 0.3822470E-08 0.3857509E-08 0.3889285E-08 0.3918624E-08 0.3945651E-08 0.3970819E-08
 0.1105658E+06 0.3191316E-08 0.3403930E-08 0.3517678E-08 0.3596991E-08 0.3658535E-08 0.3709263E-08 0.3752644E-08 0.3790848E-08 0.3825019E-08 0.3855992E-08 0.3884589E-08 0.3910927E-08 0.3935447E-08
 0.1036226E+06 0.3174124E-08 0.3382480E-08 0.3493791E-08 0.3571353E-08 0.3631498E-08 0.3681050E-08 0.3723409E-08 0.3760699E-08 0.3794037E-08 0.3824260E-08 0.3852151E-08 0.3877833E-08 0.3901737E-08
 0.9711529E+05 0.3157778E-08 0.3362052E-08 0.3471038E-08 0.3546921E-08 0.3605730E-08 0.3654152E-08 0.3695543E-08 0.3731963E-08 0.3764513E-08 0.3794014E-08 0.3821233E-08 0.3846290E-08 0.3869608E-08
 0.9101667E+05 0.3142251E-08 0.3342605E-08 0.3449371E-08 0.3523641E-08 0.3581173E-08 0.3628530E-08 0.3668982E-08 0.3704572E-08 0.3736377E-08 0.3765190E-08 0.3791768E-08 0.3816230E-08 0.3838989E-08
 0.8530103E+05 0.3127512E-08 0.3324116E-08 0.3428749E-08 0.3501482E-08 0.3557793E-08 0.3604126E-08 0.3643689E-08 0.3678485E-08 0.3709573E-08 0.3737723E-08 0.3763689E-08 0.3787582E-08 0.3809809E-08
 0.7994432E+05 0.3113545E-08 0.3306546E-08 0.3409129E-08 0.3480397E-08 0.3535540E-08 0.3580893E-08 0.3619606E-08 0.3653644E-08 0.3684040E-08 0.3711570E-08 0.3736952E-08 0.3760304E-08 0.3782023E-08
 0.7492400E+05 0.3100324E-08 0.3289864E-08 0.3390489E-08 0.3460346E-08 0.3514371E-08 0.3558780E-08 0.3596686E-08 0.3630000E-08 0.3659742E-08 0.3686672E-08 0.3711497E-08 0.3734332E-08 0.3755565E-08
 0.7021894E+05 0.3087825E-08 0.3274037E-08 0.3372787E-08 0.3441288E-08 0.3494242E-08 0.3537760E-08 0.3574881E-08 0.3607502E-08 0.3636624E-08 0.3662982E-08 0.3687274E-08 0.3709614E-08 0.3730385E-08
 0.6580935E+05 0.3076025E-08 0.3259047E-08 0.3355995E-08 0.3423200E-08 0.3475127E-08 0.3517786E-08 0.3554163E-08 0.3586120E-08 0.3614643E-08 0.3640447E-08 0.3664229E-08 0.3686097E-08 0.3706424E-08
 0.6167667E+05 0.3064913E-08 0.3244865E-08 0.3340075E-08 0.3406043E-08 0.3456987E-08 0.3498822E-08 0.3534485E-08 0.3565808E-08 0.3593751E-08 0.3619037E-08 0.3642332E-08 0.3663747E-08 0.3683651E-08
 0.5780352E+05 0.3054466E-08 0.3231465E-08 0.3325013E-08 0.3389789E-08 0.3439789E-08 0.3480828E-08 0.3515813E-08 0.3546528E-08 0.3573922E-08 0.3598706E-08 0.3621534E-08 0.3642516E-08 0.3662015E-08
 0.5417359E+05 0.3044666E-08 0.3218821E-08 0.3310777E-08 0.3374402E-08 0.3423496E-08 0.3463783E-08 0.3498108E-08 0.3528238E-08 0.3555113E-08 0.3579415E-08 0.3601796E-08 0.3622365E-08 0.3641476E-08
 0.5077161E+05 0.3035495E-08 0.3206921E-08 0.3297341E-08 0.3359866E-08 0.3408092E-08 0.3447652E-08 0.3481348E-08 0.3510919E-08 0.3537289E-08 0.3561125E-08 0.3583077E-08 0.3603249E-08 0.3621988E-08
 0.4758327E+05 0.3026944E-08 0.3195740E-08 0.3284679E-08 0.3346152E-08 0.3393543E-08 0.3432406E-08 0.3465498E-08 0.3494533E-08 0.3520413E-08 0.3543813E-08 0.3565355E-08 0.3585146E-08 0.3603529E-08
 0.4459515E+05 0.3018996E-08 0.3185259E-08 0.3272778E-08 0.3333236E-08 0.3379825E-08 0.3418012E-08 0.3450530E-08 0.3479050E-08 0.3504466E-08 0.3527442E-08 0.3548590E-08 0.3568017E-08 0.3586058E-08
 0.4179467E+05 0.3011637E-08 0.3175455E-08 0.3261613E-08 0.3321090E-08 0.3366908E-08 0.3404457E-08 0.3436413E-08 0.3464439E-08 0.3489414E-08 0.3511984E-08 0.3532754E-08 0.3551830E-08 0.3569544E-08
 0.3917006E+05 0.3004849E-08 0.3166322E-08 0.3251166E-08 0.3309703E-08 0.3354780E-08 0.3391710E-08 0.3423132E-08 0.3450683E-08 0.3475231E-08 0.3497404E-08 0.3517811E-08 0.3536552E-08 0.3553952E-08
 0.3671027E+05 0.2998630E-08 0.3157839E-08 0.3241412E-08 0.3299051E-08 0.3343415E-08 0.3379751E-08 0.3410659E-08 0.3437754E-08 0.3461885E-08 0.3483689E-08 0.3503748E-08 0.3522166E-08 0.3539264E-08
 0.3440495E+05 0.2992964E-08 0.3149991E-08 0.3232346E-08 0.3289115E-08 0.3332794E-08 0.3368553E-08 0.3398972E-08 0.3425628E-08 0.3449364E-08 0.3470807E-08 0.3490532E-08 0.3508640E-08 0.3525449E-08
 0.3224440E+05 0.2987841E-08 0.3142760E-08 0.3223945E-08 0.3279873E-08 0.3322892E-08 0.3358106E-08 0.3388045E-08 0.3414279E-08 0.3437641E-08 0.3458738E-08 0.3478141E-08 0.3495951E-08 0.3512481E-08
 0.3021952E+05 0.2983246E-08 0.3136141E-08 0.3216196E-08 0.3271318E-08 0.3313702E-08 0.3348386E-08 0.3377869E-08 0.3403698E-08 0.3426694E-08 0.3447452E-08 0.3466546E-08 0.3484071E-08 0.3500334E-08
 0.2832181E+05 0.2979178E-08 0.3130118E-08 0.3209079E-08 0.3263429E-08 0.3305202E-08 0.3339377E-08 0.3368420E-08 0.3393859E-08 0.3416499E-08 0.3436942E-08 0.3455739E-08 0.3472989E-08 0.3488994E-08
 0.2654326E+05 0.2975626E-08 0.3124679E-08 0.3202591E-08 0.3256193E-08 0.3297378E-08 0.3331057E-08 0.3359682E-08 0.3384745E-08 0.3407048E-08 0.3427183E-08 0.3445694E-08 0.3462679E-08 0.3478437E-08
 0.2487640E+05 0.2972580E-08 0.3119810E-08 0.3196714E-08 0.3249592E-08 0.3290209E-08 0.3323421E-08 0.3351633E-08 0.3376335E-08 0.3398318E-08 0.3418156E-08 0.3436392E-08 0.3453123E-08 0.3468644E-08
 0.2331422E+05 0.2970029E-08 0.3115508E-08 0.3191437E-08 0.3243620E-08 0.3283692E-08 0.3316449E-08 0.3344269E-08 0.3368623E-08 0.3390292E-08 0.3409841E-08 0.3427812E-08 0.3444298E-08 0.3459590E-08
