 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.3020793E+07 0.3869549E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2831094E+07 0.3716740E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2653308E+07 0.3577172E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2486686E+07 0.3449247E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2330528E+07 0.3331655E-06 0.4046594E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2184176E+07 0.3223233E-06 0.3884665E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2047015E+07 0.3122995E-06 0.3736924E-06 0.4126890E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1918467E+07 0.3030080E-06 0.3601693E-06 0.3961151E-06 0.4238631E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1797991E+07 0.2943777E-06 0.3477494E-06 0.3809992E-06 0.4065104E-06 0.4277883E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1685082E+07 0.2863431E-06 0.3363090E-06 0.3671681E-06 0.3907093E-06 0.4102556E-06 0.4272832E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1579262E+07 0.2788479E-06 0.3257402E-06 0.3544697E-06 0.3762666E-06 0.3942908E-06 0.4099399E-06 0.4239305E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1480088E+07 0.2718418E-06 0.3159546E-06 0.3427763E-06 0.3630250E-06 0.3797045E-06 0.3941394E-06 0.4070082E-06 0.4187646E-06 0.4296331E-06 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1387142E+07 0.2652835E-06 0.3068712E-06 0.3319771E-06 0.3508454E-06 0.3663310E-06 0.3796926E-06 0.3915737E-06 0.4024024E-06 0.4123898E-06 0.4217051E-06 0.4305306E-06 0.4388582E-06 0.0000000E+00
