 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.2070260E+06 0.4528106E-08 0.4653551E-08 0.4744722E-08 0.4811557E-08 0.4860148E-08 0.4894918E-08 0.4919214E-08 0.4935781E-08 0.4946693E-08 0.4953642E-08 0.4957939E-08 0.4960469E-08 0.4961911E-08
 0.2013314E+06 0.4556749E-08 0.4683310E-08 0.4775302E-08 0.4842745E-08 0.4891781E-08 0.4926871E-08 0.4951391E-08 0.4968111E-08 0.4979124E-08 0.4986137E-08 0.4990474E-08 0.4993028E-08 0.4994483E-08
 0.1957935E+06 0.4586159E-08 0.4713877E-08 0.4806721E-08 0.4874795E-08 0.4924292E-08 0.4959714E-08 0.4984466E-08 0.5001345E-08 0.5012464E-08 0.5019544E-08 0.5023922E-08 0.5026500E-08 0.5027970E-08
 0.1904079E+06 0.4616294E-08 0.4745209E-08 0.4838933E-08 0.4907659E-08 0.4957634E-08 0.4993400E-08 0.5018393E-08 0.5035437E-08 0.5046664E-08 0.5053813E-08 0.5058234E-08 0.5060837E-08 0.5062321E-08
 0.1851703E+06 0.4647119E-08 0.4777268E-08 0.4871902E-08 0.4941301E-08 0.4991769E-08 0.5027889E-08 0.5053131E-08 0.5070344E-08 0.5081684E-08 0.5088904E-08 0.5093370E-08 0.5095999E-08 0.5097498E-08
 0.1800769E+06 0.4678603E-08 0.4810021E-08 0.4905591E-08 0.4975684E-08 0.5026659E-08 0.5063145E-08 0.5088643E-08 0.5106032E-08 0.5117487E-08 0.5124781E-08 0.5129292E-08 0.5131948E-08 0.5133462E-08
 0.1751236E+06 0.4710719E-08 0.4843441E-08 0.4939974E-08 0.5010780E-08 0.5062278E-08 0.5099139E-08 0.5124899E-08 0.5142469E-08 0.5154043E-08 0.5161413E-08 0.5165969E-08 0.5168653E-08 0.5170183E-08
 0.1703064E+06 0.4743444E-08 0.4877506E-08 0.4975025E-08 0.5046563E-08 0.5098597E-08 0.5135843E-08 0.5161875E-08 0.5179629E-08 0.5191325E-08 0.5198773E-08 0.5203377E-08 0.5206090E-08 0.5207636E-08
 0.1656218E+06 0.4776760E-08 0.4912193E-08 0.5010724E-08 0.5083010E-08 0.5135593E-08 0.5173235E-08 0.5199545E-08 0.5217490E-08 0.5229309E-08 0.5236837E-08 0.5241492E-08 0.5244233E-08 0.5245796E-08
 0.1610661E+06 0.4810647E-08 0.4947483E-08 0.5047050E-08 0.5120105E-08 0.5173251E-08 0.5211298E-08 0.5237891E-08 0.5256029E-08 0.5267978E-08 0.5275587E-08 0.5280292E-08 0.5283063E-08 0.5284643E-08
 0.1566356E+06 0.4845093E-08 0.4983364E-08 0.5083990E-08 0.5157831E-08 0.5211552E-08 0.5250013E-08 0.5276896E-08 0.5295234E-08 0.5307314E-08 0.5315006E-08 0.5319763E-08 0.5322565E-08 0.5324162E-08
 0.1523271E+06 0.4880083E-08 0.5019819E-08 0.5121528E-08 0.5196172E-08 0.5250481E-08 0.5289366E-08 0.5316547E-08 0.5335087E-08 0.5347302E-08 0.5355080E-08 0.5359889E-08 0.5362722E-08 0.5364337E-08
 0.1481371E+06 0.4915608E-08 0.5056842E-08 0.5159654E-08 0.5235118E-08 0.5290028E-08 0.5329345E-08 0.5356831E-08 0.5375578E-08 0.5387929E-08 0.5395795E-08 0.5400658E-08 0.5403525E-08 0.5405157E-08
 0.1440624E+06 0.4951658E-08 0.5094418E-08 0.5198360E-08 0.5274658E-08 0.5330184E-08 0.5369941E-08 0.5397736E-08 0.5416697E-08 0.5429187E-08 0.5437142E-08 0.5442062E-08 0.5444959E-08 0.5446611E-08
 0.1400996E+06 0.4988226E-08 0.5132542E-08 0.5237635E-08 0.5314788E-08 0.5370938E-08 0.5411148E-08 0.5439258E-08 0.5458435E-08 0.5471069E-08 0.5479115E-08 0.5484090E-08 0.5487021E-08 0.5488691E-08
 0.1362460E+06 0.5025306E-08 0.5171210E-08 0.5277473E-08 0.5355497E-08 0.5412285E-08 0.5452955E-08 0.5481389E-08 0.5500785E-08 0.5513565E-08 0.5521704E-08 0.5526738E-08 0.5529702E-08 0.5531392E-08
 0.1324983E+06 0.5062892E-08 0.5210411E-08 0.5317871E-08 0.5396782E-08 0.5454221E-08 0.5495359E-08 0.5524122E-08 0.5543743E-08 0.5556671E-08 0.5564905E-08 0.5569996E-08 0.5572995E-08 0.5574704E-08
 0.1288536E+06 0.5100983E-08 0.5250148E-08 0.5358825E-08 0.5438638E-08 0.5496741E-08 0.5538356E-08 0.5567453E-08 0.5587305E-08 0.5600385E-08 0.5608713E-08 0.5613866E-08 0.5616900E-08 0.5618629E-08
 0.1253093E+06 0.5139572E-08 0.5290413E-08 0.5400329E-08 0.5481063E-08 0.5539840E-08 0.5581942E-08 0.5611381E-08 0.5631467E-08 0.5644699E-08 0.5653128E-08 0.5658341E-08 0.5661411E-08 0.5663160E-08
 0.1218625E+06 0.5178660E-08 0.5331205E-08 0.5442383E-08 0.5524055E-08 0.5583520E-08 0.5626117E-08 0.5655905E-08 0.5676227E-08 0.5689618E-08 0.5698146E-08 0.5703420E-08 0.5706526E-08 0.5708297E-08
 0.1185103E+06 0.5218245E-08 0.5372525E-08 0.5484988E-08 0.5567613E-08 0.5627778E-08 0.5670880E-08 0.5701021E-08 0.5721586E-08 0.5735137E-08 0.5743767E-08 0.5749104E-08 0.5752247E-08 0.5754039E-08
 0.1152505E+06 0.5258327E-08 0.5414372E-08 0.5528141E-08 0.5611736E-08 0.5672613E-08 0.5716228E-08 0.5746730E-08 0.5767541E-08 0.5781255E-08 0.5789990E-08 0.5795392E-08 0.5798574E-08 0.5800387E-08
 0.1120804E+06 0.5298904E-08 0.5456745E-08 0.5571843E-08 0.5656427E-08 0.5718029E-08 0.5762167E-08 0.5793035E-08 0.5814099E-08 0.5827978E-08 0.5836817E-08 0.5842284E-08 0.5845504E-08 0.5847340E-08
 0.1089974E+06 0.5339980E-08 0.5499646E-08 0.5616096E-08 0.5701685E-08 0.5764025E-08 0.5808695E-08 0.5839936E-08 0.5861255E-08 0.5875303E-08 0.5884250E-08 0.5889784E-08 0.5893043E-08 0.5894901E-08
 0.1059992E+06 0.5381554E-08 0.5543077E-08 0.5660902E-08 0.5747513E-08 0.5810604E-08 0.5855815E-08 0.5887438E-08 0.5909015E-08 0.5923235E-08 0.5932293E-08 0.5937893E-08 0.5941192E-08 0.5943073E-08
 0.1030835E+06 0.5423631E-08 0.5587040E-08 0.5706264E-08 0.5793914E-08 0.5857768E-08 0.5903529E-08 0.5935539E-08 0.5957381E-08 0.5971776E-08 0.5980944E-08 0.5986615E-08 0.5989955E-08 0.5991859E-08
 0.1002481E+06 0.5466211E-08 0.5631538E-08 0.5752182E-08 0.5840891E-08 0.5905522E-08 0.5951843E-08 0.5984246E-08 0.6006357E-08 0.6020930E-08 0.6030212E-08 0.6035951E-08 0.6039334E-08 0.6041262E-08
 0.9749050E+05 0.5509296E-08 0.5676573E-08 0.5798665E-08 0.5888448E-08 0.5953870E-08 0.6000761E-08 0.6033563E-08 0.6055949E-08 0.6070702E-08 0.6080099E-08 0.6085910E-08 0.6089333E-08 0.6091285E-08
