 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.2870652E+08 0.5079737E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2648801E+08 0.4882738E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2444096E+08 0.4702881E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2255211E+08 0.4538097E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.2080923E+08 0.4386695E-07 0.5328035E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1920105E+08 0.4247169E-07 0.5118721E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1771715E+08 0.4118246E-07 0.4927824E-07 0.5442066E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1634793E+08 0.3998809E-07 0.4753169E-07 0.5227548E-07 0.5593739E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1508452E+08 0.3887943E-07 0.4592841E-07 0.5031981E-07 0.5368916E-07 0.5649940E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1391876E+08 0.3784797E-07 0.4445232E-07 0.4853119E-07 0.5164279E-07 0.5422637E-07 0.5647702E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1284309E+08 0.3688647E-07 0.4308946E-07 0.4688985E-07 0.4977318E-07 0.5215746E-07 0.5422754E-07 0.5607825E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1185054E+08 0.3598840E-07 0.4182836E-07 0.4537922E-07 0.4805989E-07 0.5026805E-07 0.5217904E-07 0.5388271E-07 0.5543910E-07 0.5687796E-07 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
 0.1093471E+08 0.3514841E-07 0.4065853E-07 0.4398490E-07 0.4648484E-07 0.4853659E-07 0.5030692E-07 0.5188108E-07 0.5331583E-07 0.5463909E-07 0.5587331E-07 0.5704263E-07 0.5814599E-07 0.0000000E+00
 0.1008965E+08 0.3436137E-07 0.3957102E-07 0.4269506E-07 0.4503280E-07 0.4694503E-07 0.4859016E-07 0.5004993E-07 0.5137732E-07 0.5259918E-07 0.5373676E-07 0.5481269E-07 0.5582631E-07 0.5679016E-07
 0.9309899E+07 0.3362286E-07 0.3855787E-07 0.4149890E-07 0.4369049E-07 0.4547774E-07 0.4701159E-07 0.4836915E-07 0.4960134E-07 0.5073376E-07 0.5178608E-07 0.5277982E-07 0.5371464E-07 0.5460232E-07
 0.8590409E+07 0.3292882E-07 0.3761253E-07 0.4038723E-07 0.4244702E-07 0.4412190E-07 0.4555584E-07 0.4682233E-07 0.4796972E-07 0.4902244E-07 0.4999892E-07 0.5091994E-07 0.5178518E-07 0.5260573E-07
 0.7926523E+07 0.3227595E-07 0.3672879E-07 0.3935184E-07 0.4129237E-07 0.4286583E-07 0.4420991E-07 0.4539472E-07 0.4646626E-07 0.4744761E-07 0.4835701E-07 0.4921340E-07 0.5001691E-07 0.5077802E-07
 0.7313944E+07 0.3166098E-07 0.3590132E-07 0.3838599E-07 0.4021797E-07 0.4169960E-07 0.4296238E-07 0.4407383E-07 0.4507724E-07 0.4599485E-07 0.4684405E-07 0.4764274E-07 0.4839123E-07 0.4909946E-07
 0.6748706E+07 0.3108105E-07 0.3512525E-07 0.3748331E-07 0.3921618E-07 0.4061438E-07 0.4180386E-07 0.4284869E-07 0.4379068E-07 0.4465113E-07 0.4544626E-07 0.4619323E-07 0.4689249E-07 0.4755345E-07
 0.6227151E+07 0.3053353E-07 0.3439660E-07 0.3663830E-07 0.3828072E-07 0.3960293E-07 0.4072565E-07 0.4171026E-07 0.4259669E-07 0.4340536E-07 0.4415157E-07 0.4485199E-07 0.4550701E-07 0.4612555E-07
 0.5745903E+07 0.3001628E-07 0.3371149E-07 0.3584597E-07 0.3740561E-07 0.3865839E-07 0.3972028E-07 0.4065013E-07 0.4148615E-07 0.4224774E-07 0.4295006E-07 0.4360844E-07 0.4422357E-07 0.4480392E-07
 0.5301847E+07 0.2952712E-07 0.3306653E-07 0.3510224E-07 0.3658571E-07 0.3777488E-07 0.3878103E-07 0.3966110E-07 0.4045122E-07 0.4117019E-07 0.4183252E-07 0.4245283E-07 0.4303185E-07 0.4357769E-07
 0.4892109E+07 0.2906413E-07 0.3245859E-07 0.3440310E-07 0.3581630E-07 0.3694705E-07 0.3790241E-07 0.3873666E-07 0.3948489E-07 0.4016516E-07 0.4079110E-07 0.4137679E-07 0.4192304E-07 0.4243758E-07
