#The covariance of log_10(P[k_1,k_2]) DR11 pre reconstruction, for k < 0.3
#kbin_1 kbin_2 cov(log_10(P[k_1,k_2])), first bin index is 1
1 1 0.00895709
1 2 0.00117413
1 3 -0.000174338
1 4 -8.23275e-05
1 5 -9.62022e-05
1 6 -3.03937e-05
1 7 1.90933e-05
1 8 3.74496e-05
1 9 -1.07052e-05
1 10 -3.11736e-05
1 11 -2.90042e-05
1 12 1.54385e-06
1 13 -7.96019e-06
1 14 2.364e-06
1 15 2.00306e-05
1 16 -1.48652e-06
1 17 1.14073e-05
1 18 4.90471e-05
1 19 1.85505e-05
1 20 8.27708e-06
1 21 -2.75564e-06
1 22 4.42408e-06
1 23 -1.32479e-05
1 24 -2.5705e-06
1 25 8.85997e-06
1 26 3.31113e-05
1 27 2.09925e-05
1 28 -8.39679e-06
1 29 9.27826e-06
1 30 7.22915e-06
1 31 4.96288e-06
1 32 3.95615e-06
1 33 -5.2092e-06
1 34 4.20729e-05
1 35 2.17243e-07
1 36 3.29719e-05
1 37 3.81982e-05
2 1 0.00117413
2 2 0.001464
2 3 0.000176855
2 4 1.29591e-05
2 5 1.31852e-05
2 6 1.83008e-05
2 7 6.30977e-06
2 8 2.34265e-05
2 9 -1.17961e-06
2 10 -4.52989e-06
2 11 7.92904e-06
2 12 9.25605e-06
2 13 1.77331e-05
2 14 -3.31562e-06
2 15 1.73858e-05
2 16 8.71382e-06
2 17 7.78846e-06
2 18 1.59654e-05
2 19 1.02033e-05
2 20 1.0679e-05
2 21 1.63577e-05
2 22 -2.96393e-06
2 23 -1.81174e-05
2 24 1.46789e-06
2 25 3.48765e-06
2 26 8.76099e-06
2 27 4.07398e-06
2 28 -6.73949e-06
2 29 3.26537e-06
2 30 1.53423e-05
2 31 -3.07396e-07
2 32 -2.99305e-06
2 33 1.82465e-05
2 34 1.2331e-05
2 35 9.81726e-06
2 36 1.45272e-05
2 37 -3.58346e-06
3 1 -0.000174338
3 2 0.000176855
3 3 0.000574849
3 4 9.37586e-05
3 5 2.70686e-05
3 6 1.49693e-05
3 7 1.10099e-05
3 8 1.48875e-05
3 9 2.34436e-05
3 10 5.4281e-06
3 11 8.10127e-06
3 12 1.06131e-05
3 13 2.01635e-05
3 14 4.29706e-06
3 15 3.75666e-06
3 16 9.85816e-06
3 17 1.65879e-05
3 18 9.52267e-06
3 19 1.52992e-05
3 20 1.17484e-05
3 21 1.90912e-05
3 22 1.02444e-05
3 23 5.72814e-06
3 24 8.08289e-06
3 25 1.39682e-05
3 26 1.40334e-05
3 27 1.25109e-05
3 28 1.51862e-05
3 29 4.38733e-06
3 30 4.61376e-06
3 31 6.3746e-06
3 32 7.30961e-08
3 33 1.27196e-05
3 34 1.39064e-05
3 35 1.52098e-05
3 36 1.08321e-05
3 37 3.48999e-06
4 1 -8.23275e-05
4 2 1.29591e-05
4 3 9.37586e-05
4 4 0.000298482
4 5 4.56658e-05
4 6 1.39056e-05
4 7 8.27822e-06
4 8 5.67621e-06
4 9 8.96605e-06
4 10 7.73323e-06
4 11 1.26906e-05
4 12 1.53483e-05
4 13 8.46284e-06
4 14 8.05711e-06
4 15 9.93375e-06
4 16 1.02402e-05
4 17 -3.47851e-07
4 18 1.93148e-06
4 19 4.97744e-06
4 20 6.03332e-06
4 21 6.97886e-06
4 22 -1.99929e-07
4 23 4.47136e-06
4 24 9.37462e-06
4 25 7.49779e-06
4 26 6.64853e-06
4 27 1.12237e-05
4 28 7.51258e-07
4 29 2.56763e-06
4 30 4.08777e-06
4 31 2.75076e-06
4 32 -1.39142e-06
4 33 6.62579e-06
4 34 7.9835e-06
4 35 7.22201e-06
4 36 4.25656e-06
4 37 -2.13484e-06
5 1 -9.62022e-05
5 2 1.31852e-05
5 3 2.70686e-05
5 4 4.56658e-05
5 5 0.000201332
5 6 5.32261e-05
5 7 -1.38244e-07
5 8 -4.59921e-07
5 9 7.48316e-06
5 10 1.17514e-06
5 11 1.16984e-05
5 12 1.21285e-05
5 13 1.05992e-05
5 14 3.12924e-06
5 15 1.01772e-05
5 16 4.55378e-06
5 17 4.34576e-06
5 18 5.53856e-06
5 19 2.60954e-06
5 20 3.00284e-06
5 21 3.56385e-06
5 22 5.84374e-07
5 23 6.85407e-06
5 24 7.50075e-06
5 25 5.8839e-06
5 26 8.49411e-06
5 27 4.60084e-06
5 28 6.21552e-06
5 29 7.60502e-07
5 30 -6.50205e-07
5 31 2.01373e-06
5 32 2.12155e-06
5 33 6.0933e-06
5 34 1.10091e-05
5 35 6.24328e-06
5 36 4.85336e-06
5 37 3.14365e-06
6 1 -3.03937e-05
6 2 1.83008e-05
6 3 1.49693e-05
6 4 1.39056e-05
6 5 5.32261e-05
6 6 0.000141136
6 7 2.81165e-05
6 8 7.88816e-06
6 9 6.86775e-06
6 10 7.026e-06
6 11 9.0805e-06
6 12 8.61058e-06
6 13 8.19026e-06
6 14 4.83057e-06
6 15 4.58585e-06
6 16 2.19573e-06
6 17 3.65055e-06
6 18 -3.93097e-07
6 19 2.75218e-06
6 20 4.217e-06
6 21 2.06406e-06
6 22 -1.08297e-06
6 23 1.06325e-06
6 24 6.86626e-06
6 25 3.60183e-06
6 26 1.70605e-06
6 27 4.00679e-06
6 28 -5.64415e-07
6 29 3.54647e-06
6 30 -8.72141e-07
6 31 2.07838e-06
6 32 4.88075e-06
6 33 8.44328e-06
6 34 6.72395e-06
6 35 3.95315e-06
6 36 1.72001e-06
6 37 -1.34563e-06
7 1 1.90933e-05
7 2 6.30977e-06
7 3 1.10099e-05
