 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.4514036E+07 0.1260408E-06 0.1262500E-06 0.1264560E-06 0.1266591E-06 0.1268590E-06 0.1270561E-06 0.1272502E-06 0.1274421E-06 0.1276312E-06 0.1278175E-06 0.1280023E-06 0.1281838E-06 0.1283625E-06
 0.4165181E+07 0.1271647E-06 0.1273758E-06 0.1275836E-06 0.1277885E-06 0.1279902E-06 0.1281890E-06 0.1283848E-06 0.1285784E-06 0.1287692E-06 0.1289572E-06 0.1291437E-06 0.1293268E-06 0.1295071E-06
 0.3843287E+07 0.1283037E-06 0.1285166E-06 0.1287264E-06 0.1289330E-06 0.1291366E-06 0.1293372E-06 0.1295348E-06 0.1297301E-06 0.1299226E-06 0.1301122E-06 0.1303004E-06 0.1304851E-06 0.1306671E-06
 0.3546269E+07 0.1294580E-06 0.1296729E-06 0.1298845E-06 0.1300931E-06 0.1302984E-06 0.1305008E-06 0.1307002E-06 0.1308973E-06 0.1310915E-06 0.1312828E-06 0.1314727E-06 0.1316591E-06 0.1318427E-06
 0.3272205E+07 0.1306280E-06 0.1308449E-06 0.1310584E-06 0.1312688E-06 0.1314760E-06 0.1316803E-06 0.1318814E-06 0.1320803E-06 0.1322763E-06 0.1324693E-06 0.1326610E-06 0.1328490E-06 0.1330342E-06
 0.3019322E+07 0.1318140E-06 0.1320328E-06 0.1322482E-06 0.1324606E-06 0.1326697E-06 0.1328758E-06 0.1330787E-06 0.1332794E-06 0.1334772E-06 0.1336720E-06 0.1338654E-06 0.1340551E-06 0.1342420E-06
 0.2785982E+07 0.1330161E-06 0.1332369E-06 0.1334544E-06 0.1336686E-06 0.1338796E-06 0.1340876E-06 0.1342924E-06 0.1344949E-06 0.1346945E-06 0.1348911E-06 0.1350862E-06 0.1352777E-06 0.1354663E-06
 0.2570675E+07 0.1342348E-06 0.1344576E-06 0.1346771E-06 0.1348933E-06 0.1351062E-06 0.1353161E-06 0.1355228E-06 0.1357272E-06 0.1359286E-06 0.1361270E-06 0.1363239E-06 0.1365171E-06 0.1367075E-06
 0.2372008E+07 0.1354703E-06 0.1356952E-06 0.1359166E-06 0.1361349E-06 0.1363498E-06 0.1365616E-06 0.1367702E-06 0.1369764E-06 0.1371797E-06 0.1373799E-06 0.1375786E-06 0.1377737E-06 0.1379657E-06
 0.2188694E+07 0.1367230E-06 0.1369499E-06 0.1371734E-06 0.1373937E-06 0.1376106E-06 0.1378243E-06 0.1380349E-06 0.1382430E-06 0.1384481E-06 0.1386502E-06 0.1388508E-06 0.1390476E-06 0.1392415E-06
 0.2019547E+07 0.1379931E-06 0.1382222E-06 0.1384477E-06 0.1386700E-06 0.1388889E-06 0.1391047E-06 0.1393172E-06 0.1395272E-06 0.1397343E-06 0.1399382E-06 0.1401406E-06 0.1403393E-06 0.1405350E-06
 0.1863472E+07 0.1392810E-06 0.1395122E-06 0.1397399E-06 0.1399642E-06 0.1401852E-06 0.1404029E-06 0.1406174E-06 0.1408294E-06 0.1410384E-06 0.1412443E-06 0.1414486E-06 0.1416491E-06 0.1418466E-06
 0.1719458E+07 0.1405870E-06 0.1408204E-06 0.1410502E-06 0.1412766E-06 0.1414996E-06 0.1417194E-06 0.1419359E-06 0.1421500E-06 0.1423609E-06 0.1425687E-06 0.1427749E-06 0.1429773E-06 0.1431766E-06
 0.1586575E+07 0.1419115E-06 0.1421470E-06 0.1423790E-06 0.1426076E-06 0.1428327E-06 0.1430546E-06 0.1432731E-06 0.1434892E-06 0.1437021E-06 0.1439118E-06 0.1441200E-06 0.1443243E-06 0.1445255E-06
 0.1463961E+07 0.1432547E-06 0.1434925E-06 0.1437267E-06 0.1439575E-06 0.1441847E-06 0.1444087E-06 0.1446293E-06 0.1448474E-06 0.1450623E-06 0.1452740E-06 0.1454842E-06 0.1456904E-06 0.1458935E-06
 0.1350823E+07 0.1446172E-06 0.1448572E-06 0.1450936E-06 0.1453266E-06 0.1455560E-06 0.1457821E-06 0.1460048E-06 0.1462249E-06 0.1464419E-06 0.1466557E-06 0.1468678E-06 0.1470760E-06 0.1472810E-06
 0.1246428E+07 0.1459991E-06 0.1462415E-06 0.1464801E-06 0.1467153E-06 0.1469469E-06 0.1471752E-06 0.1474000E-06 0.1476223E-06 0.1478413E-06 0.1480571E-06 0.1482713E-06 0.1484815E-06 0.1486885E-06
 0.1150101E+07 0.1474010E-06 0.1476457E-06 0.1478866E-06 0.1481241E-06 0.1483579E-06 0.1485883E-06 0.1488153E-06 0.1490397E-06 0.1492609E-06 0.1494787E-06 0.1496949E-06 0.1499072E-06 0.1501161E-06
 0.1061219E+07 0.1488232E-06 0.1490702E-06 0.1493134E-06 0.1495532E-06 0.1497893E-06 0.1500219E-06 0.1502511E-06 0.1504777E-06 0.1507010E-06 0.1509209E-06 0.1511392E-06 0.1513535E-06 0.1515645E-06
 0.9792057E+06 0.1502660E-06 0.1505154E-06 0.1507610E-06 0.1510031E-06 0.1512415E-06 0.1514764E-06 0.1517078E-06 0.1519366E-06 0.1521620E-06 0.1523841E-06 0.1526045E-06 0.1528209E-06 0.1530339E-06
 0.9035305E+06 0.1517299E-06 0.1519818E-06 0.1522298E-06 0.1524742E-06 0.1527149E-06 0.1529521E-06 0.1531858E-06 0.1534168E-06 0.1536444E-06 0.1538687E-06 0.1540912E-06 0.1543097E-06 0.1545248E-06
 0.8337036E+06 0.1529275E-06 0.1534697E-06 0.1537201E-06 0.1539669E-06 0.1542100E-06 0.1544495E-06 0.1546855E-06 0.1549187E-06 0.1551486E-06 0.1553750E-06 0.1555998E-06 0.1558204E-06 0.1560376E-06
 0.7692732E+06 0.1528002E-06 0.1549795E-06 0.1552324E-06 0.1554817E-06 0.1557271E-06 0.1559690E-06 0.1562073E-06 0.1564428E-06 0.1566749E-06 0.1569036E-06 0.1571306E-06 0.1573533E-06 0.1575727E-06
 0.7098220E+06 0.1526969E-06 0.1565117E-06 0.1567672E-06 0.1570189E-06 0.1572667E-06 0.1575110E-06 0.1577516E-06 0.1579895E-06 0.1582239E-06 0.1584549E-06 0.1586841E-06 0.1589090E-06 0.1591306E-06
 0.6549654E+06 0.1526171E-06 0.1574474E-06 0.1583248E-06 0.1585790E-06 0.1588293E-06 0.1590760E-06 0.1593190E-06 0.1595593E-06 0.1597960E-06 0.1600293E-06 0.1602607E-06 0.1604879E-06 0.1607117E-06
 0.6043482E+06 0.1525606E-06 0.1573400E-06 0.1599057E-06 0.1601625E-06 0.1604153E-06 0.1606645E-06 0.1609099E-06 0.1611525E-06 0.1613917E-06 0.1616272E-06 0.1618610E-06 0.1620905E-06 0.1623164E-06
 0.5576429E+06 0.1525272E-06 0.1572574E-06 0.1613137E-06 0.1617698E-06 0.1620251E-06 0.1622768E-06 0.1625247E-06 0.1627698E-06 0.1630113E-06 0.1632493E-06 0.1634854E-06 0.1637171E-06 0.1639454E-06
