 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.3111083E+08 0.2625942E-08 0.2631528E-08 0.2637033E-08 0.2642463E-08 0.2647815E-08 0.2653094E-08 0.2658298E-08 0.2663447E-08 0.2668526E-08 0.2673533E-08 0.2678507E-08 0.2683392E-08 0.2688206E-08
 0.2870652E+08 0.2640220E-08 0.2645821E-08 0.2651343E-08 0.2656789E-08 0.2662156E-08 0.2667451E-08 0.2672670E-08 0.2677834E-08 0.2682927E-08 0.2687949E-08 0.2692936E-08 0.2697835E-08 0.2702663E-08
 0.2648801E+08 0.2654677E-08 0.2660296E-08 0.2665833E-08 0.2671296E-08 0.2676679E-08 0.2681989E-08 0.2687224E-08 0.2692403E-08 0.2697511E-08 0.2702547E-08 0.2707549E-08 0.2712462E-08 0.2717304E-08
 0.2444096E+08 0.2669318E-08 0.2674953E-08 0.2680508E-08 0.2685987E-08 0.2691386E-08 0.2696712E-08 0.2701962E-08 0.2707157E-08 0.2712280E-08 0.2717331E-08 0.2722348E-08 0.2727276E-08 0.2732132E-08
 0.2255211E+08 0.2684145E-08 0.2689798E-08 0.2695369E-08 0.2700865E-08 0.2706280E-08 0.2711623E-08 0.2716889E-08 0.2722099E-08 0.2727238E-08 0.2732304E-08 0.2737336E-08 0.2742278E-08 0.2747149E-08
 0.2080923E+08 0.2699160E-08 0.2704831E-08 0.2710420E-08 0.2715932E-08 0.2721365E-08 0.2726724E-08 0.2732006E-08 0.2737232E-08 0.2742387E-08 0.2747468E-08 0.2752515E-08 0.2757472E-08 0.2762358E-08
 0.1920105E+08 0.2714368E-08 0.2720056E-08 0.2725663E-08 0.2731192E-08 0.2736642E-08 0.2742018E-08 0.2747317E-08 0.2752559E-08 0.2757729E-08 0.2762827E-08 0.2767889E-08 0.2772862E-08 0.2777762E-08
 0.1771715E+08 0.2729770E-08 0.2735476E-08 0.2741101E-08 0.2746648E-08 0.2752115E-08 0.2757508E-08 0.2762824E-08 0.2768083E-08 0.2773269E-08 0.2778383E-08 0.2783461E-08 0.2788449E-08 0.2793365E-08
 0.1634793E+08 0.2745369E-08 0.2751095E-08 0.2756738E-08 0.2762303E-08 0.2767788E-08 0.2773198E-08 0.2778530E-08 0.2783806E-08 0.2789010E-08 0.2794139E-08 0.2799234E-08 0.2804238E-08 0.2809169E-08
 0.1508452E+08 0.2761170E-08 0.2766914E-08 0.2772576E-08 0.2778159E-08 0.2783662E-08 0.2789090E-08 0.2794440E-08 0.2799733E-08 0.2804953E-08 0.2810099E-08 0.2815210E-08 0.2820230E-08 0.2825177E-08
 0.1391876E+08 0.2777174E-08 0.2782938E-08 0.2788618E-08 0.2794221E-08 0.2799741E-08 0.2805187E-08 0.2810555E-08 0.2815865E-08 0.2821103E-08 0.2826266E-08 0.2831394E-08 0.2836430E-08 0.2841393E-08
 0.1284309E+08 0.2793386E-08 0.2799169E-08 0.2804869E-08 0.2810490E-08 0.2816029E-08 0.2821494E-08 0.2826879E-08 0.2832207E-08 0.2837462E-08 0.2842643E-08 0.2847787E-08 0.2852841E-08 0.2857820E-08
 0.1185054E+08 0.2809808E-08 0.2815611E-08 0.2821330E-08 0.2826971E-08 0.2832529E-08 0.2838012E-08 0.2843416E-08 0.2848762E-08 0.2854035E-08 0.2859233E-08 0.2864395E-08 0.2869465E-08 0.2874461E-08
