 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.3111083E+08 0.1716497E-07 0.1719346E-07 0.1722152E-07 0.1724917E-07 0.1727640E-07 0.1730324E-07 0.1732967E-07 0.1735580E-07 0.1738156E-07 0.1740693E-07 0.1743211E-07 0.1745682E-07 0.1748116E-07
 0.2870652E+08 0.1730323E-07 0.1733195E-07 0.1736024E-07 0.1738811E-07 0.1741556E-07 0.1744261E-07 0.1746926E-07 0.1749560E-07 0.1752156E-07 0.1754714E-07 0.1757252E-07 0.1759743E-07 0.1762197E-07
 0.2648801E+08 0.1744317E-07 0.1747212E-07 0.1750063E-07 0.1752873E-07 0.1755640E-07 0.1758368E-07 0.1761054E-07 0.1763710E-07 0.1766327E-07 0.1768905E-07 0.1771464E-07 0.1773975E-07 0.1776448E-07
 0.2444096E+08 0.1758481E-07 0.1761400E-07 0.1764274E-07 0.1767107E-07 0.1769897E-07 0.1772646E-07 0.1775354E-07 0.1778031E-07 0.1780670E-07 0.1783269E-07 0.1785848E-07 0.1788380E-07 0.1790873E-07
 0.2255211E+08 0.1772818E-07 0.1775761E-07 0.1778659E-07 0.1781515E-07 0.1784327E-07 0.1787099E-07 0.1789829E-07 0.1792528E-07 0.1795188E-07 0.1797808E-07 0.1800409E-07 0.1802961E-07 0.1805475E-07
 0.2080923E+08 0.1787332E-07 0.1790299E-07 0.1793221E-07 0.1796100E-07 0.1798935E-07 0.1801730E-07 0.1804482E-07 0.1807203E-07 0.1809885E-07 0.1812527E-07 0.1815148E-07 0.1817722E-07 0.1820256E-07
 0.1920105E+08 0.1802025E-07 0.1805016E-07 0.1807961E-07 0.1810864E-07 0.1813723E-07 0.1816540E-07 0.1819316E-07 0.1822059E-07 0.1824763E-07 0.1827426E-07 0.1830069E-07 0.1832664E-07 0.1835219E-07
 0.1771715E+08 0.1816899E-07 0.1819915E-07 0.1822885E-07 0.1825812E-07 0.1828694E-07 0.1831535E-07 0.1834333E-07 0.1837099E-07 0.1839825E-07 0.1842510E-07 0.1845175E-07 0.1847791E-07 0.1850367E-07
 0.1634793E+08 0.1831958E-07 0.1834999E-07 0.1837994E-07 0.1840945E-07 0.1843851E-07 0.1846715E-07 0.1849537E-07 0.1852326E-07 0.1855074E-07 0.1857782E-07 0.1860469E-07 0.1863107E-07 0.1865704E-07
 0.1508452E+08 0.1847206E-07 0.1850272E-07 0.1853292E-07 0.1856267E-07 0.1859198E-07 0.1862086E-07 0.1864930E-07 0.1867743E-07 0.1870514E-07 0.1873244E-07 0.1875954E-07 0.1878613E-07 0.1881233E-07
 0.1391876E+08 0.1862644E-07 0.1865736E-07 0.1868781E-07 0.1871782E-07 0.1874736E-07 0.1877649E-07 0.1880517E-07 0.1883353E-07 0.1886147E-07 0.1888901E-07 0.1891633E-07 0.1894314E-07 0.1896955E-07
 0.1284309E+08 0.1878277E-07 0.1881395E-07 0.1884466E-07 0.1887491E-07 0.1890471E-07 0.1893408E-07 0.1896300E-07 0.1899160E-07 0.1901978E-07 0.1904754E-07 0.1907509E-07 0.1910213E-07 0.1912876E-07
 0.1185054E+08 0.1894108E-07 0.1897252E-07 0.1900348E-07 0.1903400E-07 0.1906404E-07 0.1909366E-07 0.1912283E-07 0.1915166E-07 0.1918008E-07 0.1920808E-07 0.1923586E-07 0.1926313E-07 0.1928999E-07
 0.1093471E+08 0.1910140E-07 0.1913310E-07 0.1916433E-07 0.1919510E-07 0.1922540E-07 0.1925526E-07 0.1928468E-07 0.1931376E-07 0.1934242E-07 0.1937065E-07 0.1939867E-07 0.1942617E-07 0.1945325E-07
 0.1008965E+08 0.1926376E-07 0.1929573E-07 0.1932722E-07 0.1935826E-07 0.1938881E-07 0.1941893E-07 0.1944860E-07 0.1947792E-07 0.1950683E-07 0.1953530E-07 0.1956356E-07 0.1959129E-07 0.1961861E-07
 0.9309899E+07 0.1942820E-07 0.1946045E-07 0.1949220E-07 0.1952350E-07 0.1955432E-07 0.1958470E-07 0.1961462E-07 0.1964419E-07 0.1967334E-07 0.1970206E-07 0.1973056E-07 0.1975853E-07 0.1978607E-07
 0.8590409E+07 0.1959475E-07 0.1962728E-07 0.1965931E-07 0.1969087E-07 0.1972195E-07 0.1975259E-07 0.1978277E-07 0.1981260E-07 0.1984200E-07 0.1987096E-07 0.1989970E-07 0.1992791E-07 0.1995570E-07
 0.7926523E+07 0.1976346E-07 0.1979626E-07 0.1982857E-07 0.1986040E-07 0.1989175E-07 0.1992266E-07 0.1995309E-07 0.1998318E-07 0.2001283E-07 0.2004204E-07 0.2007103E-07 0.2009949E-07 0.2012751E-07
 0.7313944E+07 0.1993435E-07 0.1996744E-07 0.2000002E-07 0.2003214E-07 0.2006376E-07 0.2009493E-07 0.2012562E-07 0.2015597E-07 0.2018588E-07 0.2021534E-07 0.2024458E-07 0.2027329E-07 0.2030155E-07
