#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   190.54607179632484       -2.5916918503717166
   192.30917289101575       -2.5919037720118867
   194.08858775927774       -2.5921603354938059
   195.88446735059890       -2.5923189882146143
   197.69696401118600       -2.5923191020964804
   199.52623149688787       -2.5923192159783177
   201.37242498623874       -2.5925596940989299
   203.23570109362208       -2.5928158765539542
   205.11621788255647       -2.5930719105876441
   207.01413487910415       -2.5933277965272610
   208.92961308540387       -2.5935707112402677
   210.86281499332887       -2.5935708248002185
   212.81390459827114       -2.5935709383601404
   214.78304741305331       -2.5937261026039606
   216.77041048196941       -2.5939816113063370
   218.77616239495518       -2.5942369731375714
   220.80047330188992       -2.5944921884469401
   222.84351492703030       -2.5947472575809276
   224.90546058357805       -2.5948190238980984
   226.98648518838212       -2.5948191371397251
   229.08676527677724       -2.5948894530164730
   231.20647901755942       -2.5951442951250554
   233.34580622810020       -2.5953989919118694
   235.50492838960091       -2.5956535436904264
   237.68402866248761       -2.5959079507589990
   239.88329190194898       -2.5960637391866377
   242.10290467361776       -2.5960638521134638
   244.34305526939713       -2.5960639650402610
   246.60393372343387       -2.5963039597602018
   248.88573182823905       -2.5965591387681783
   251.18864315095797       -2.5966861114407389
   253.51286304979072       -2.5966862242105209
   255.85858869056452       -2.5967007598149716
   258.22601906345955       -2.5969545699053422
   260.61535499988952       -2.5972082318527581
   263.02679918953817       -2.5974617459245106
   265.46055619755390       -2.5977151124135371
   267.91683248190316       -2.5979256001538662
   270.39583641088433       -2.5979257126028292
   272.89777828080406       -2.5979258250517643
   275.42287033381660       -2.5981094948511796
   277.97132677592884       -2.5983624853526148
   280.54336379517133       -2.5986153294864414
   283.13919957993789       -2.5988680276310774
   285.75905433749466       -2.5991205801753874
   288.40315031266056       -2.5991616886567295
   291.07171180666052       -2.5991618007884418
   293.76496519615307       -2.5992613723120108
   296.48313895243422       -2.5995136988413656
   299.22646366081892       -2.5997658807898754
   301.99517204020162       -2.5997785409211849
   304.78949896279829       -2.5997786528958025
   307.60968147407078       -2.5999064666798883
   310.45595881283555       -2.6001584242054028
   313.32857243155854       -2.6004102381623411
   316.22776601683796       -2.6006619089335783
   319.15378551007615       -2.6009134368906759
   322.10687912834345       -2.6010093304528912
   325.08729738543440       -2.6010094421165122
   328.09529311311906       -2.6010536587848989
   331.13112148259108       -2.6013049649839584
   334.19504002611427       -2.6015561292525580
   337.28730865886888       -2.6018071519053425
   340.40818970100088       -2.6020580332376317
   343.55794789987465       -2.6022367175179517
   346.73685045253166       -2.6022368288741955
   349.94516702835733       -2.6022369402304122
   353.18316979195697       -2.6024485568446583
   356.45113342624427       -2.6026990779210326
   359.74933515574236       -2.6029494585619264
   363.07805477010140       -2.6031996989693709
   366.43757464783334       -2.6034497993257939
   369.82817978026628       -2.6034608479089703
   373.25015779572061       -2.6034609589604645
   376.70379898390894       -2.6035892261378235
   380.18939632056129       -2.6038391086528296
   383.70724549227884       -2.6040716577695213
