 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.1433137E+06 0.2562148E-06 0.2847406E-06 0.3009624E-06 0.3126985E-06 0.3220570E-06 0.3299419E-06 0.3368110E-06 0.3429590E-06 0.3485381E-06 0.3536615E-06 0.3584491E-06 0.3629077E-06 0.3671017E-06
 0.1343139E+06 0.2526026E-06 0.2800530E-06 0.2956066E-06 0.3068360E-06 0.3157748E-06 0.3232961E-06 0.3298408E-06 0.3356926E-06 0.3409969E-06 0.3458662E-06 0.3504117E-06 0.3546419E-06 0.3586185E-06
 0.1258793E+06 0.2491743E-06 0.2756184E-06 0.2905508E-06 0.3013089E-06 0.3098591E-06 0.3170431E-06 0.3232895E-06 0.3288682E-06 0.3339207E-06 0.3385552E-06 0.3428784E-06 0.3468991E-06 0.3506762E-06
 0.1179744E+06 0.2459189E-06 0.2714194E-06 0.2857731E-06 0.2960920E-06 0.3042815E-06 0.3111551E-06 0.3171235E-06 0.3224500E-06 0.3272712E-06 0.3316893E-06 0.3358078E-06 0.3396357E-06 0.3432296E-06
 0.1105658E+06 0.2428256E-06 0.2674421E-06 0.2812544E-06 0.2911651E-06 0.2990194E-06 0.3056039E-06 0.3113157E-06 0.3164088E-06 0.3210151E-06 0.3252322E-06 0.3291619E-06 0.3328120E-06 0.3362370E-06
 0.1036226E+06 0.2398864E-06 0.2636716E-06 0.2769768E-06 0.2865074E-06 0.2940494E-06 0.3003652E-06 0.3058387E-06 0.3107153E-06 0.3151215E-06 0.3191547E-06 0.3229097E-06 0.3263956E-06 0.3296648E-06
 0.9711529E+05 0.2370919E-06 0.2600953E-06 0.2729260E-06 0.2821006E-06 0.2893514E-06 0.2954160E-06 0.3006687E-06 0.3053442E-06 0.3095657E-06 0.3134274E-06 0.3170206E-06 0.3203544E-06 0.3234794E-06
 0.9101667E+05 0.2344343E-06 0.2567006E-06 0.2690869E-06 0.2779275E-06 0.2849062E-06 0.2907381E-06 0.2957835E-06 0.3002717E-06 0.3043224E-06 0.3080247E-06 0.3114677E-06 0.3146605E-06 0.3176519E-06
 0.8530103E+05 0.2319057E-06 0.2534783E-06 0.2654464E-06 0.2739747E-06 0.2806989E-06 0.2863126E-06 0.2911652E-06 0.2954789E-06 0.2993696E-06 0.3029227E-06 0.3062260E-06 0.3092877E-06 0.3121550E-06
 0.7994432E+05 0.2295005E-06 0.2504176E-06 0.2619918E-06 0.2702277E-06 0.2767133E-06 0.2821229E-06 0.2867954E-06 0.2909461E-06 0.2946867E-06 0.2981024E-06 0.3012755E-06 0.3042153E-06 0.3069671E-06
 0.7492400E+05 0.2272118E-06 0.2475096E-06 0.2587134E-06 0.2666740E-06 0.2729358E-06 0.2781533E-06 0.2826579E-06 0.2866562E-06 0.2902573E-06 0.2935439E-06 0.2965956E-06 0.2994216E-06 0.3020658E-06
 0.7021894E+05 0.2250338E-06 0.2447452E-06 0.2556005E-06 0.2633012E-06 0.2693528E-06 0.2743915E-06 0.2787373E-06 0.2825928E-06 0.2860641E-06 0.2892300E-06 0.2921683E-06 0.2948880E-06 0.2974318E-06
 0.6580935E+05 0.2229608E-06 0.2421180E-06 0.2526437E-06 0.2601004E-06 0.2659541E-06 0.2708242E-06 0.2750216E-06 0.2787432E-06 0.2820922E-06 0.2851443E-06 0.2879764E-06 0.2905968E-06 0.2930467E-06
 0.6167667E+05 0.2209885E-06 0.2396202E-06 0.2498339E-06 0.2570610E-06 0.2627284E-06 0.2674399E-06 0.2714978E-06 0.2750938E-06 0.2783272E-06 0.2812740E-06 0.2840066E-06 0.2865339E-06 0.2888959E-06
 0.5780352E+05 0.2191120E-06 0.2372451E-06 0.2471643E-06 0.2541741E-06 0.2596660E-06 0.2642273E-06 0.2681547E-06 0.2716324E-06 0.2747580E-06 0.2776053E-06 0.2802445E-06 0.2826844E-06 0.2849640E-06
 0.5417359E+05 0.2173269E-06 0.2349861E-06 0.2446271E-06 0.2514309E-06 0.2567570E-06 0.2611781E-06 0.2649812E-06 0.2683476E-06 0.2713724E-06 0.2741261E-06 0.2766775E-06 0.2790355E-06 0.2812377E-06
 0.5077161E+05 0.2156287E-06 0.2328387E-06 0.2422155E-06 0.2488250E-06 0.2539945E-06 0.2582825E-06 0.2619690E-06 0.2652306E-06 0.2681598E-06 0.2708247E-06 0.2732936E-06 0.2755744E-06 0.2777040E-06
 0.4758327E+05 0.2140146E-06 0.2307969E-06 0.2399228E-06 0.2463488E-06 0.2513701E-06 0.2555325E-06 0.2591089E-06 0.2622715E-06 0.2651100E-06 0.2676925E-06 0.2700835E-06 0.2722918E-06 0.2743529E-06
 0.4459515E+05 0.2124805E-06 0.2288560E-06 0.2377440E-06 0.2439957E-06 0.2488768E-06 0.2529197E-06 0.2563926E-06 0.2594618E-06 0.2622152E-06 0.2647194E-06 0.2670371E-06 0.2691769E-06 0.2711736E-06
 0.4179467E+05 0.2110233E-06 0.2270109E-06 0.2356735E-06 0.2417592E-06 0.2465074E-06 0.2504383E-06 0.2538122E-06 0.2567929E-06 0.2594666E-06 0.2618968E-06 0.2641452E-06 0.2662205E-06 0.2681563E-06
